VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesPrice,TotalSalesDollars,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,16.42,22.99,750,93205,1530426.1,91247,436011.64,2148965.53,71840.57,123780.22,618539.43,28.78312478,0.978992543,1.40416158
3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,22.38,29.99,1750,66942,1498161.96,61433,442856.2,1840615.67,112875.19,257032.07,342453.71,18.60538925,0.917704879,1.228582569
480,BACARDI USA INC,2663,Dewars White Label,21.42,29.99,1750,69001,1478001.42,70122,495957.83,2189368.78,128839.08,89286.27,711367.36,32.49189294,1.016246141,1.48130357
10000,MAJESTIC FINE WINES,6570,Kendall Jackson Chard Vt RSV,6.77,10.99,750,215668,1460072.36,214238,189608.96,2326007.78,24083.77,17587.59,865935.42,37.2283974,0.993369438,1.593077058
9165,ULTRA BEVERAGE COMPANY LLP,3650,Patron Silver Tequila,33.81,48.99,750,42951,1452173.31,41639,662320.04,2009508.61,32783.09,68054.7,557335.3,27.7349048,0.969453563,1.383793929
3960,DIAGEO NORTH AMERICA INC,2753,Johnnie Walker Black Label,44.77,59.99,1750,31596,1414552.92,28372,507291.43,1739044.28,52133.72,257032.07,324491.36,18.65917756,0.897961767,1.229394995
17035,PERNOD RICARD USA,5364,Kahlua,23.07,29.99,1750,60645,1399080.15,59771,504735.06,1844950.29,109817.07,123780.22,445870.14,24.16705439,0.98558826,1.318688061
3960,DIAGEO NORTH AMERICA INC,8082,Baileys Irish Cream,21.73,33.99,1750,64249,1396130.77,65184,494487.65,2068091.16,119767.49,257032.07,671960.39,32.49181675,1.014552756,1.481301898
3960,DIAGEO NORTH AMERICA INC,8680,Crown Royal,28.88,39.99,1750,47546,1373128.48,47966,596574.93,1884307.34,88129.8,257032.07,511178.86,27.12821041,1.008833551,1.372273147
3960,DIAGEO NORTH AMERICA INC,4260,Capt Morgan Original Barrel,16.66,21.99,1750,79078,1317439.48,79042,121065.25,1635666.58,145234.95,257032.07,318227.1,19.4554993,0.999544753,1.241549692
480,BACARDI USA INC,3348,Bombay Sapphire Gin,22.38,29.99,1750,57349,1283470.62,56888,460087.95,1766391.12,104524.54,89286.27,482920.5,27.33938676,0.991961499,1.376261437
480,BACARDI USA INC,3857,Grey Goose Vodka,38.27,49.99,1750,33388,1277758.76,32945,589137.79,1699669.55,60533.43,89286.27,421910.79,24.82310694,0.98673176,1.330195968
8664,"STOLI GROUP,(USA) LLC",8112,Stolichnaya,19.52,24.99,1750,61936,1208990.72,61323,392353.54,1528730.27,112669.45,18544.49,319739.55,20.91536723,0.990102687,1.264468159
480,BACARDI USA INC,126,Grey Goose Vodka,20.14,32.99,1000,59878,1205942.92,58013,294049.49,1736610.87,60913.65,89286.27,530667.95,30.55767755,0.968853335,1.440044003
12546,JIM BEAM BRANDS COMPANY,3512,Pinnacle Vodka,11.76,16.99,1750,101480,1193404.8,98938,306439.94,1624366.62,181782.13,123880.97,430961.82,26.53106846,0.974950729,1.361119563
12546,JIM BEAM BRANDS COMPANY,2120,Canadian Club,12.21,16.99,1750,97473,1190145.33,94960,307670.2,1554498.4,174471.93,123880.97,364353.07,23.43862625,0.974218502,1.306141663
7245,PROXIMO SPIRITS INC.,8159,Jose Cuervo Especial,19.69,25.99,1750,59088,1163442.72,58610,431497.81,1549701.9,107685.03,38994.78,386259.18,24.92474069,0.991910371,1.331996731
480,BACARDI USA INC,4243,Bacardi Superior Rum,14.49,19.99,1750,76389,1106876.61,77041,342678.85,1657809.59,141551.61,89286.27,550932.98,33.23258493,1.00853526,1.497736581
8112,MOET HENNESSY USA INC,6654,Veuve Clicquot Brut Yellow,27.2,39.99,750,40380,1098336,38506,349562.06,1584665.41,4316.36,48347.26,486329.41,30.68972207,0.953590887,1.442787462
3960,DIAGEO NORTH AMERICA INC,8512,Baileys Irish Cream,14.72,19.99,750,72952,1073853.44,73122,340626.13,1456174.78,57570.69,257032.07,382321.34,26.25518209,1.002330299,1.356027485
7245,PROXIMO SPIRITS INC.,3802,Three Olives Vodka,13.43,18.99,1750,77066,1034996.38,74722,331726.63,1408627.78,137288.58,38994.78,373631.4,26.52449464,0.969584512,1.360997784
11567,CAMPARI AMERICA,3826,Skyy Vodka,15.74,19.99,1750,65382,1029112.68,64388,352821.78,1327401.12,118298.37,20964.81,298288.44,22.4716128,0.984797039,1.289850126
8112,MOET HENNESSY USA INC,42188,Moet & Chandon Nectar Imp Rs,34.01,52.99,750,29829,1014484.29,29498,132343.67,1533634.52,3314.23,48347.26,519150.23,33.85097448,0.988903416,1.511738067
17035,PERNOD RICARD USA,3423,Beefeater,21.25,26.99,1750,46163,980963.75,44762,367508.01,1177834.38,82244.16,123780.22,196870.63,16.71462757,0.969651019,1.200691035
8004,SAZERAC CO INC,5138,Fireball Cinnamon Whisky,11.1,13.99,750,87954,976289.4,84289,257643.31,1174428.36,66360.95,50293.62,198138.96,16.87109804,0.958330491,1.202951051
17035,PERNOD RICARD USA,5734,Malibu Rum,15.82,21.99,1750,61639,975128.98,60102,315290.18,1293182.98,110429.45,123780.22,318054,24.59466332,0.975064488,1.326166083
480,BACARDI USA INC,4227,Bacardi Superior Rum Trav,14.17,17.99,1750,68294,967725.98,75147,177578.65,1323223.53,138074.09,89286.27,355497.55,26.86602391,1.100345565,1.367353525
4425,MARTIGNETTI COMPANIES,3505,Tito's Handmade Vodka,13.76,18.99,750,69299,953554.24,70603,331321.59,1355204.97,55584.91,144929.24,401650.73,29.63763703,1.01881701,1.421214351
1128,BROWN-FORMAN CORP,1232,Jack Daniels No 7 Black,15.93,22.99,750,52932,843206.76,53206,394500.86,1255188.94,41888.06,68601.68,411982.18,32.82232394,1.005176453,1.48858975
12546,JIM BEAM BRANDS COMPANY,1385,Makers Mark,20.45,26.99,750,41048,839431.6,37615,396827.65,1034144.85,29615.6,123880.97,194713.25,18.82843105,0.916366205,1.231958447
8004,SAZERAC CO INC,5103,Fireball Cinnamon Whisky,17.14,23.99,1750,44198,757553.72,43533,364814.64,1093841.67,79984.58,50293.62,336287.95,30.74375014,0.98495407,1.443913007
17035,PERNOD RICARD USA,8000,The Glenlivet 12 Yr Single,53.96,67.99,1750,13759,742435.64,13210,453044.28,910688.9,24275.31,123780.22,168253.26,18.47538276,0.960098844,1.226623361
3960,DIAGEO NORTH AMERICA INC,2432,Crown Royal,17.59,22.99,750,41893,736897.87,41506,361149.79,967005.94,32678.12,257032.07,230108.07,23.79593139,0.99076218,1.312265891
17035,PERNOD RICARD USA,5365,Kahlua,14.84,18.99,750,48583,720971.72,48615,323296.76,932815.85,38272.73,123780.22,211844.13,22.71017693,1.000658667,1.2938314
3960,DIAGEO NORTH AMERICA INC,3876,Smirnoff 80 Proof,13.95,19.99,1750,50962,710919.9,64266,298050.96,1210481.34,118078.45,257032.07,499561.44,41.26965229,1.261057258,1.702697224
1392,CONSTELLATION BRANDS INC,3913,Svedka Vodka,14.28,17.99,1750,48481,692308.68,47805,271014.43,875307.95,87832.83,79528.99,182999.27,20.90684427,0.986056393,1.264331902
8004,SAZERAC CO INC,3522,Platinum 7X Distilled Vodka,9.62,12.99,1750,71899,691668.38,70351,232302.78,914148.49,129253.37,50293.62,222480.11,24.33741481,0.978469798,1.321657194
1392,CONSTELLATION BRANDS INC,2114,Black Velvet Canadian Whisky,9.41,12.99,1750,73227,689066.07,72043,229797.43,948838.57,132364.71,79528.99,259772.5,27.37794481,0.983831101,1.376992151
4425,MARTIGNETTI COMPANIES,11219,Josh Cellars Cab Svgn Sonoma,8.44,12.99,750,80030,675453.2,78392,199092.27,1095045.04,8799.82,144929.24,419591.84,38.31731341,0.979532675,1.621200462
9552,M S WALKER INC,3893,Zhenka 80 Proof,7.93,9.99,1750,81447,645874.71,81723,171058.77,816412.77,150149.63,55551.82,170538.06,20.8887056,1.003388707,1.264042015
1128,BROWN-FORMAN CORP,811,Jack Daniels No 7 Black,19.84,29.99,1000,32554,645871.36,32064,253234.7,937915.36,33667.2,68601.68,292044,31.13756448,0.984948086,1.452170537
3960,DIAGEO NORTH AMERICA INC,2443,Seagrams VO,13.48,16.99,1750,47654,642375.92,47446,273169.26,902489.54,87173.57,257032.07,260113.62,28.82178778,0.995635204,1.4049243
660,SAZERAC NORTH AMERICA INC.,2127,Canadian Ltd,7.19,10.49,1750,86887,624717.53,86195,183132.56,899110.55,158367.21,17932.33,274393.02,30.51827387,0.992035632,1.439227342
1392,CONSTELLATION BRANDS INC,6682,R M Woodbridge Chard Cal,6.03,8.99,1500,101547,612328.41,101339,161300.35,1016328.61,22776.05,79528.99,404000.2,39.75094236,0.997951687,1.659776998
3960,DIAGEO NORTH AMERICA INC,3798,Ciroc Apple Vodka,19.83,28.99,750,30830,611358.9,29647,157601.68,748067.53,23348.15,257032.07,136708.63,18.27490494,0.961628284,1.223614361
3960,DIAGEO NORTH AMERICA INC,4262,Capt Morgan Spiced Rum,11.19,13.99,750,54552,610436.88,55710,241540.93,862422.9,43861.64,257032.07,251986.02,29.2183823,1.021227453,1.412796193
1128,BROWN-FORMAN CORP,2015,Jack Daniels Tennessee Honey,18.1,22.99,750,33715,610241.5,32969,303753.15,771010.31,25959.91,68601.68,160768.81,20.8517069,0.97787335,1.263451125
12546,JIM BEAM BRANDS COMPANY,1737,Makers Mark,34.3,51.99,1750,17537,601519.1,16089,432234.78,823521.11,29564.92,123880.97,222002.01,26.95765868,0.917431716,1.369068929
4425,MARTIGNETTI COMPANIES,38370,Oyster Bay Svgn Bl Marlboro,6.59,9.95,750,91140,600612.6,90267,124833.98,890334.41,10138.88,144929.24,289721.81,32.54078543,0.99042133,1.482377176
6785,PALM BAY INTERNATIONAL INC,6937,Cavit Pinot Grigio,6.75,9.99,1500,88752,599076,87974,164272.29,945345.02,19771.27,13605.41,346269.02,36.62885113,0.991234,1.578005161
8112,MOET HENNESSY USA INC,4689,Hennessy Privilege VSOP,33.33,45.99,750,17838,594540.54,18005,177136.37,858571.95,14178.85,48347.26,264031.41,30.75239181,1.009362036,1.444093198
4425,MARTIGNETTI COMPANIES,3040,Tito's Handmade Vodka,16.54,23.99,1000,35922,594149.88,34901,253126.18,842326.99,36646.05,144929.24,248177.11,29.46327411,0.971577306,1.417701187
17035,PERNOD RICARD USA,3625,Absolut 80 Proof,12.59,16.99,750,45969,578749.71,44406,270297.42,785296.94,34961.13,123780.22,206547.23,26.30179993,0.965998825,1.356885241
8112,MOET HENNESSY USA INC,7865,Moet & Chandon Imperial,23.97,34.99,750,24088,577389.36,23290,249582.16,834892.1,2606.53,48347.26,257502.74,30.84263703,0.966871471,1.445977633
12546,JIM BEAM BRANDS COMPANY,1346,Knob Creek Bourbon,22.55,29.99,750,25540,575927,22144,350154.71,684455.56,17438.07,123880.97,108528.56,15.85618795,0.867032106,1.188441521
7239,REMY COINTREAU USA INC,5242,Cointreau Liqueur,22.05,29.99,750,25361,559210.05,24770,351898.27,763368.3,19504.75,16978.67,204158.25,26.74439717,0.976696503,1.365083299
7239,REMY COINTREAU USA INC,4722,Remy Martin VSOP Cognac,27.77,34.99,750,19910,552900.7,18637,204514.67,665392.63,14677.69,16978.67,112491.93,16.90609798,0.93606228,1.203457746
4425,MARTIGNETTI COMPANIES,6967,Santa Margherita Pnt Grigio,11.89,19.99,750,46257,549995.73,46511,185950.74,923055.25,5216.4,144929.24,373059.52,40.41573026,1.005491061,1.678295302
8664,"STOLI GROUP,(USA) LLC",3630,Stolichnaya Razberi,19.83,24.99,1750,27479,544908.57,27622,298569.61,700960.78,50751.81,18544.49,156052.21,22.26261646,1.005203974,1.286382374
1128,BROWN-FORMAN CORP,2760,Jack Daniels Tennessee Honey,28.02,38.99,1750,19219,538516.38,18250,345701.2,701171.5,33536.43,68601.68,162655.12,23.19762284,0.949581144,1.302043032
3960,DIAGEO NORTH AMERICA INC,8178,Bulleit Bourbon,18.51,25.99,750,28421,526072.71,27204,301943.56,724379.96,21421.64,257032.07,198307.25,27.37613697,0.95717955,1.376957873
3089,SIDNEY FRANK IMPORTING CO,5445,Jagermeister Liqueur,11.76,15.99,750,44330,521320.8,41133,253884.34,661672.67,32383.34,8549.55,140351.87,21.21167707,0.927881796,1.269223614
3252,E & J GALLO WINERY,14006,Apothic Winemakers Red Blend,5.44,9.99,750,94779,515597.76,91600,143899.93,812899.38,10283.26,61966.91,297301.62,36.57299136,0.966458815,1.576615422
3664,WILLIAM GRANT & SONS INC,3238,Hendrick's Gin,22.83,29.99,750,22352,510296.16,20847,294114.64,632474.53,16416.8,30234.42,122178.37,19.31751623,0.932668218,1.239426395
12546,JIM BEAM BRANDS COMPANY,3980,Hornitos Reposado Tequila,31.99,39.99,1750,15805,505601.95,15381,323365.62,565522.19,28264.51,123880.97,59920.24,10.59555948,0.973173047,1.118512676
7245,PROXIMO SPIRITS INC.,3776,Jose Cuervo Especial Silver,18.56,25.99,1750,26795,497315.2,25596,295186.91,684036.04,47031.43,38994.78,186720.84,27.29693014,0.955252846,1.375457738
3960,DIAGEO NORTH AMERICA INC,3746,Gordons Vodka 80 Proof,8.52,12.99,1750,58309,496792.68,57845,188936.74,724360.55,106278.68,257032.07,227567.87,31.41638097,0.992042395,1.458074121
17035,PERNOD RICARD USA,3728,Absolut Citron,18.93,24.99,1750,25959,491403.87,26222,288436.23,658689.78,48180.15,123780.22,167285.91,25.3967672,1.010131361,1.340424486
3924,HEAVEN HILL DISTILLERIES,3243,Burnetts Vodka,8.26,10.49,1750,57575,475569.5,57067,182200.23,648535.33,104847.72,14069.87,172965.83,26.67022474,0.991176726,1.363702529
3089,SIDNEY FRANK IMPORTING CO,5440,Jagermeister Liqueur,25.92,34.99,1750,18298,474284.16,18082,318571.82,621256.18,33226.63,8549.55,146972.02,23.65723267,0.988195431,1.309881781
480,BACARDI USA INC,4245,Bacardi Superior Rum,7.93,11.99,750,58816,466410.88,58320,167950.57,643474.8,45919.42,89286.27,177063.92,27.51683827,0.991566921,1.379630767
9165,ULTRA BEVERAGE COMPANY LLP,36378,MezzaCorona Pnt Grigio,6.83,9.97,1500,68084,465013.72,67195,155747.37,695816.41,15097.47,68054.7,230802.69,33.17005559,0.9869426,1.496335226
3664,WILLIAM GRANT & SONS INC,4198,Sailor Jerry Spiced Navy Rum,17.51,24.99,1750,25998,455224.98,23008,288223.98,575754.92,42276.16,30234.42,120529.94,20.93424404,0.884991153,1.264770048
10000,MAJESTIC FINE WINES,24325,La Crema Chard Sonoma Cst,10.88,15.99,750,41274,449061.12,39387,155090.73,658288.13,4415.6,17587.59,209227.01,31.78350033,0.954281146,1.465921009
17035,PERNOD RICARD USA,5735,Malibu Rum,9.29,11.99,750,48121,447044.09,46557,181685.19,598769.43,36656.77,123780.22,151725.34,25.33952677,0.967498597,1.339396814
8112,MOET HENNESSY USA INC,5342,Grand Marnier,19.85,28.99,750,22234,441344.9,22623,335050.78,687309.77,17815.45,48347.26,245964.87,35.78661045,1.017495727,1.557307607
2555,DISARONNO INTERNATIONAL LLC,5311,Amaretto DiSaronno,23.7,31.99,1750,18409,436293.3,18376,306347.94,667168.24,33767.5,5861.03,230874.94,34.60520543,0.998207399,1.5291737
1392,CONSTELLATION BRANDS INC,19748,Clos du Bois Chard,9.2,13.99,1500,47153,433807.6,46069,166739.16,701955.59,10347.03,79528.99,268147.99,38.20013599,0.977011007,1.618126538
8112,MOET HENNESSY USA INC,3668,Belvedere Polish Vodka,34.12,42.99,1750,12713,433767.56,12218,282790.95,536414.82,22452.64,48347.26,102647.26,19.13579867,0.961063478,1.236641163
2561,EDRINGTON AMERICAS,2520,The Macallan 12 Yr Old,42.21,62.99,750,10227,431681.67,9713,344176.98,572039.87,7651.83,9654.5,140358.2,24.53643659,0.949740882,1.32514283
3960,DIAGEO NORTH AMERICA INC,8202,Sambuca Romana,13.33,17.99,750,32375,431558.75,31816,219853.86,606781.84,25052.7,257032.07,175223.09,28.87744465,0.982733591,1.406023722
3960,DIAGEO NORTH AMERICA INC,3276,Gordons London Dry,9.62,14.99,1750,44631,429350.22,44434,185732.19,643753.66,81641.21,257032.07,214403.44,33.30519938,0.995586028,1.499367253
3960,DIAGEO NORTH AMERICA INC,497,Capt Morgan Spiced Rum,14.7,19.99,1000,29200,429240,29238,145247.34,584467.62,30699.9,257032.07,155227.62,26.55880577,1.00130137,1.361633632
3960,DIAGEO NORTH AMERICA INC,1883,Seagrams 7 Crown,13.23,17.99,1750,32253,426707.19,32430,227105.76,583415.7,59584.78,257032.07,156708.51,26.86052329,1.005487862,1.36725069
3960,DIAGEO NORTH AMERICA INC,2767,Johnnie Walker Blue Label,139.7,189.99,750,2963,413931.1,2761,399868.02,548648.39,2176.61,257032.07,134717.29,24.55439448,0.931825852,1.325458247
17035,PERNOD RICARD USA,482,Absolut 80 Proof,14.28,21.99,1000,28888,412520.64,27866,198436.06,599601.34,29259.3,123780.22,187080.7,31.20084755,0.964621988,1.453506278
3960,DIAGEO NORTH AMERICA INC,8778,Bulleit Bourbon,37.29,49.99,1750,10966,408922.14,10796,304106.57,525233.04,19841.33,257032.07,116310.9,22.14462746,0.984497538,1.284432875
1128,BROWN-FORMAN CORP,1220,Woodford Reserve Bourbon,21.89,29.99,750,18645,408139.05,18408,293510.15,589481.92,14496.36,68601.68,181342.87,30.76309278,0.987288817,1.444316392
3960,DIAGEO NORTH AMERICA INC,2418,Crown Royal Regal Apple,16.53,22.99,750,24558,405943.74,24284,263621.23,570271.16,19122.7,257032.07,164327.42,28.81566376,0.98884274,1.404803434
1392,CONSTELLATION BRANDS INC,8504,R M Woodbridge Cab Svgn Cal,5.84,8.99,1500,69263,404495.92,68667,148661.02,686725.33,15427.26,79528.99,282229.41,41.09785931,0.991395117,1.697731166
660,SAZERAC NORTH AMERICA INC.,3684,Fleischmanns Royal Vodka,7.68,9.99,1750,52351,402055.68,51954,156288.16,527560.96,95452.87,17932.33,125505.28,23.78972091,0.992416573,1.312158953
3252,E & J GALLO WINERY,14622,La Marca Prosecco,8.66,12.99,750,46387,401711.42,45608,124562.16,558344.69,5114.6,61966.91,156633.27,28.05314939,0.983206502,1.389914905
8004,SAZERAC CO INC,3246,Bentley's Vodka,6.71,8.79,1750,59841,401533.11,59245,136913.04,520763.55,108849.58,50293.62,119230.44,22.89531209,0.990040273,1.296938003
17035,PERNOD RICARD USA,8339,The Glenlivet 12 Yr Single,30.21,42.99,750,13250,400282.5,12463,335249.38,544906.37,9818.56,123780.22,144623.87,26.54104961,0.940603774,1.361304504
2555,DISARONNO INTERNATIONAL LLC,5312,Amaretto DiSaronno,14.7,21.99,750,27186,399634.2,26178,228705.95,571763.22,20614.87,5861.03,172129.02,30.10494799,0.962922092,1.43071644
3960,DIAGEO NORTH AMERICA INC,1869,Oban 14-Yr Single Malt,40.14,54.99,750,9892,397064.88,9219,302801.33,549291.81,7262.52,257032.07,152226.93,27.7133078,0.931965224,1.383380494
8112,MOET HENNESSY USA INC,8622,Dom Perignon,87.09,145.99,750,4544,395736.96,4127,312139.21,589317.73,459.15,48347.26,193580.77,32.84828542,0.908230634,1.489165253
3960,DIAGEO NORTH AMERICA INC,1868,Lagavulin Single Malt 16-Yr,49.62,66.99,750,7821,388078.02,7644,334191.73,550740.56,6022.61,257032.07,162662.54,29.53523888,0.977368623,1.419149067
480,BACARDI USA INC,508,Bacardi Superior Rum,9.77,12.99,1000,38957,380609.89,38335,123060.88,522309.15,40251.75,89286.27,141699.26,27.12938496,0.984033678,1.372295265
3924,HEAVEN HILL DISTILLERIES,1180,Evan Williams Black Label B,13.07,16.99,1750,29070,379944.9,28291,233334.65,543425.09,51982.14,14069.87,163480.19,30.08329814,0.973202614,1.430273416
8112,MOET HENNESSY USA INC,4673,Hennessy VS Cognac,46.66,69.99,1750,8132,379439.12,8118,225142.98,549271.82,14917.3,48347.26,169832.7,30.91960917,0.998278406,1.447588799
1128,BROWN-FORMAN CORP,2143,Canadian Mist,10.07,12.99,1750,37653,379165.71,37763,180374.16,518089.37,69382.94,68601.68,138923.66,26.81461308,1.002921414,1.366392995
4425,MARTIGNETTI COMPANIES,11214,Caymus Cab Svgn Napa Vly,50.33,74.99,750,7505,377726.65,7612,222174.11,534970.92,849.17,144929.24,157244.27,29.39305,1.014257162,1.416291172
17035,PERNOD RICARD USA,2646,Chivas Regal,43.3,58.99,1750,8702,376796.6,8233,267131.53,462119.67,15131.22,123780.22,85323.07,18.46341447,0.946104344,1.226443312
7245,PROXIMO SPIRITS INC.,8691,Jose Cuervo Especial,11.9,14.99,750,31495,374790.5,31383,216863.36,494108.17,24709.81,38994.78,119317.67,24.14808685,0.99644388,1.31835831
3960,DIAGEO NORTH AMERICA INC,4330,Capt Morgan Spiced Rum 100,20.79,25.99,1750,17755,369126.45,17633,267976.33,482985.67,32401.76,257032.07,113859.22,23.57403689,0.993128696,1.308455869
1485,CASTLE BRANDS CORP.,4225,Goslings Black Seal Bermuda,18.37,24.99,1750,20089,369034.93,20179,230329.08,522535.21,37080.62,8497.59,153500.28,29.37606444,1.004480064,1.415950544
1392,CONSTELLATION BRANDS INC,6479,Clos du Bois Chard,5.95,8.99,750,61869,368120.55,61253,110538.35,567452.47,6872.19,79528.99,199331.92,35.12750945,0.990043479,1.541485445
4425,MARTIGNETTI COMPANIES,3485,Luksusowa Potato Vodka,15.03,19.99,1750,24202,363756.06,23843,237850.84,485688.57,43809.65,144929.24,121932.51,25.10508123,0.985166515,1.335204065
17035,PERNOD RICARD USA,800,Jameson Irish Whiskey,24.02,31.99,1000,15142,363710.84,14506,124940.36,468587.94,15231.3,123780.22,104877.1,22.38151925,0.957997623,1.288352967
12546,JIM BEAM BRANDS COMPANY,1345,Basil Hayden Bourbon,28.45,37.99,750,12761,363050.45,12902,272052.08,494732.98,10162.8,123880.97,131682.53,26.61688938,1.011049291,1.362711381
3664,WILLIAM GRANT & SONS INC,1956,Balvenie 12 Yr Doublewood S,39.99,53.99,750,9013,360429.87,7922,290627.85,456461.78,6241.49,30234.42,96031.91,21.03832439,0.878952624,1.266437157
17035,PERNOD RICARD USA,2932,Jameson Black Barrel,24.61,31.99,750,14642,360339.62,13785,262340.49,444452.15,10859.05,123780.22,84112.53,18.92499114,0.941469745,1.233425705
12546,JIM BEAM BRANDS COMPANY,5391,Kamora Coffee,12.02,15.99,1750,29914,359566.28,29911,219621.59,491568.89,54956.1,123880.97,132002.61,26.85332874,0.999899713,1.36711621
3960,DIAGEO NORTH AMERICA INC,1384,Bulleit 95 Rye,18.93,25.99,750,18900,357777,17620,239842.66,470254.8,13877.41,257032.07,112477.8,23.91847994,0.932275132,1.314379628
1392,CONSTELLATION BRANDS INC,38546,Mark West Pnt Nr Sonoma,5.06,9.99,750,70531,356886.86,70188,133090.85,675519.62,7876,79528.99,318632.76,47.16854264,0.99513689,1.892811688
12546,JIM BEAM BRANDS COMPANY,3982,Hornitos Reposado Tequila,14.38,19.99,750,24801,356638.38,22099,226692.6,469603.01,17402.72,123880.97,112964.63,24.05534624,0.89105278,1.316748382
3252,E & J GALLO WINERY,3180,New Amsterdam Vodka,10.94,16.99,1750,32413,354598.22,33938,232222.54,581784.62,62355.96,61966.91,227186.4,39.04991507,1.047049024,1.640686803
1128,BROWN-FORMAN CORP,1789,Jack Daniels Tennesse Fire,17.16,22.99,750,20590,353324.4,20025,237927.51,469722.75,15770.39,68601.68,116398.35,24.78022408,0.972559495,1.329437622
1485,CASTLE BRANDS CORP.,1269,Jeffersons Bourbon,19.11,25.99,750,18458,352732.38,16976,227255.99,447608.24,13370.66,8497.59,94875.86,21.19618263,0.919709611,1.268974059
3960,DIAGEO NORTH AMERICA INC,3456,Tanqueray Sterling Vodka,13.27,18.99,1750,26543,352225.61,25684,171496.45,483047.16,47193.95,257032.07,130821.55,27.0825627,0.967637419,1.371414077
4425,MARTIGNETTI COMPANIES,23143,Bogle Chard,4.65,6.79,750,74342,345690.3,72139,101451.92,591669.53,8099.38,144929.24,245979.23,41.57375317,0.970366684,1.711559538
1128,BROWN-FORMAN CORP,1231,Jack Daniels No 7 Black,9.48,12.99,375,36450,345546,35733,192455.16,435377.67,14044.22,68601.68,89831.67,20.63304487,0.980329218,1.259970221
480,BACARDI USA INC,3344,Bombay Sapphire Gin,14.49,19.99,750,23798,344833.02,24620,236205.7,516761.8,19388.25,89286.27,171928.78,33.27041202,1.034540718,1.498585605
8004,SAZERAC CO INC,5191,Fireball Cinnamon Whiskey,7.93,9.99,375,43352,343781.36,43057,167542.29,430139.43,16928.97,50293.62,86358.07,20.07676209,0.993195239,1.25120056
3960,DIAGEO NORTH AMERICA INC,3878,Smirnoff 80 Proof,7.96,10.99,750,43015,342399.4,43690,175166.17,499703.1,34397.94,257032.07,157303.7,31.47943249,1.0156922,1.459415817
3960,DIAGEO NORTH AMERICA INC,3352,Ciroc Coconut Vodka,18.79,24.99,750,18095,340005.05,18976,91916.84,474449.24,14945.69,257032.07,134444.19,28.33689648,1.048687483,1.395418215
12546,JIM BEAM BRANDS COMPANY,3253,Gilbeys London Dry,9.08,12.49,1750,37423,339800.84,37497,154889.61,463220.03,68894.6,123880.97,123419.19,26.6437507,1.001977394,1.363210373
